feature,dtype,missing_count,missing_percent,unique_count,unique_percent,is_target,min,max,mean,median,std
Bwd IAT Max,float32,0,0.0,31617,27.053135963035853,False,0.0,117633432.0,5935424.0,1.0,13622951.0
Bwd IAT Min,float32,0,0.0,104,0.08898776418242492,False,0.0,206.0,2.1928467750549316,1.0,8.203341484069824
Fwd PSH Flags,int8,0,0.0,2,0.0017113031573543253,False,0.0,1.0,0.045529220501411824,0.0,0.20846266433041385
Bwd PSH Flags,int8,0,0.0,1,0.0008556515786771626,False,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,int8,0,0.0,1,0.0008556515786771626,False,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,int8,0,0.0,1,0.0008556515786771626,False,0.0,0.0,0.0,0.0,0.0
Fwd Header Length,int64,0,0.0,1496,1.2800547617010354,False,-17003503552.0,134480904.0,-28380571.66220587,80.0,290123620.0413673
Bwd Header Length,int64,0,0.0,875,0.7486951313425173,False,-17003494240.0,256944.0,-1196985.0879952083,40.0,80577341.45928985
Fwd Packets/s,float32,0,0.0,75032,64.20124925130487,False,0.009962762705981731,3000000.0,158034.71875,27.920677185058594,500479.53125
Bwd Packets/s,float32,0,0.0,53889,46.11020792333362,False,0.0,2000000.0,4093.084228515625,0.07061168551445007,50751.69140625
Packet Length Min,float32,0,0.0,607,0.5193805082570377,False,0.0,1472.0,124.9337387084961,6.0,250.982666015625
Packet Length Max,float32,0,0.0,1842,1.5761102079233338,False,0.0,3627.0,273.01470947265625,6.0,562.59423828125
Packet Length Mean,float32,0,0.0,7622,6.521776332677335,False,0.0,1721.142822265625,153.88308715820312,6.0,261.8757019042969
Packet Length Std,float32,0,0.0,7204,6.16411397279028,False,0.0,1293.906494140625,43.17369842529297,0.0,140.61341857910156
Packet Length Variance,float32,0,0.0,7204,6.16411397279028,False,0.0,1674194.125,21635.931640625,0.0,104371.4609375
FIN Flag Count,int8,0,0.0,1,0.0008556515786771626,False,0.0,0.0,0.0,0.0,0.0
SYN Flag Count,int8,0,0.0,2,0.0017113031573543253,False,0.0,1.0,0.0008299820313168478,0.0,0.02879757380518853
RST Flag Count,int8,0,0.0,2,0.0017113031573543253,False,0.0,1.0,0.045529220501411824,0.0,0.20846266433041385
PSH Flag Count,int8,0,0.0,1,0.0008556515786771626,False,0.0,0.0,0.0,0.0,0.0
ACK Flag Count,int8,0,0.0,2,0.0017113031573543253,False,0.0,1.0,0.4821168820056473,0.0,0.499682229523527
URG Flag Count,int8,0,0.0,2,0.0017113031573543253,False,0.0,1.0,0.1538889364250877,0.0,0.3608437969536871
CWE Flag Count,int8,0,0.0,2,0.0017113031573543253,False,0.0,1.0,0.07787285017540857,0.0,0.2679725430305082
ECE Flag Count,int8,0,0.0,1,0.0008556515786771626,False,0.0,0.0,0.0,0.0,0.0
Down/Up Ratio,float32,0,0.0,15,0.012834773680157441,False,0.0,15.0,0.38500043749809265,0.0,0.758773922920227
Avg Packet Size,float32,0,0.0,7682,6.573115427397963,False,0.0,2208.0,202.75552368164062,8.0,372.41729736328125
Avg Fwd Segment Size,float32,0,0.0,5698,4.8755026953024725,False,0.0,2131.0,141.3927459716797,6.0,256.8959045410156
Avg Bwd Segment Size,float32,0,0.0,5326,4.557200308034568,False,0.0,1850.769287109375,43.88054656982422,6.0,157.5834197998047
Fwd Avg Bytes/Bulk,int8,0,0.0,1,0.0008556515786771626,False,0.0,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,int8,0,0.0,1,0.0008556515786771626,False,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,int8,0,0.0,1,0.0008556515786771626,False,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,int8,0,0.0,1,0.0008556515786771626,False,0.0,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,int8,0,0.0,1,0.0008556515786771626,False,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,int8,0,0.0,1,0.0008556515786771626,False,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Packets,int32,0,0.0,294,0.2515615641310858,False,1.0,86666.0,9.69766407119021,4.0,361.1522731338139
Subflow Fwd Bytes,int32,0,0.0,3832,3.2788568494908876,False,0.0,208524.0,810.4946607341491,72.0,2808.1757702518908
Subflow Bwd Packets,int16,0,0.0,386,0.3302815093693848,False,0.0,8029.0,5.344374090870198,2.0,47.170255938897164
Subflow Bwd Bytes,int32,0,0.0,4258,3.6433644220073584,False,0.0,12892434.0,2935.909720201934,12.0,75629.94198333155
Init Fwd Win Bytes,int32,0,0.0,1559,1.3339608111576966,False,-1.0,65535.0,4478.745400872765,5840.0,7163.238505138806
Init Bwd Win Bytes,int32,0,0.0,1287,1.1012235817575082,False,-1.0,65535.0,1072.178891075554,0.0,6206.597584882284
Fwd Act Data Packets,int16,0,0.0,227,0.1942329083597159,False,0.0,3888.0,5.80002566954736,3.0,20.188408138131138
Fwd Seg Size Min,int32,0,0.0,845,0.7230255839822024,False,-1408237563.0,67240452.0,-12626616.66799863,20.0,115187889.28071654
Active Mean,float32,0,0.0,13868,11.866176093094891,False,0.0,40508000.0,80143.9765625,0.0,457079.3125
Active Std,float32,0,0.0,19726,16.878583040985713,False,0.0,10637562.0,80537.6484375,0.0,390220.1875
Active Max,float32,0,0.0,12699,10.865919397621289,False,0.0,40508000.0,187157.140625,0.0,834187.0
Active Min,float32,0,0.0,5799,4.961923504748866,False,0.0,40508000.0,33654.2578125,0.0,379765.75
Idle Mean,float32,0,0.0,45309,38.76871737828356,False,0.0,117569200.0,6435401.5,0.0,10628346.0
Idle Std,float32,0,0.0,40894,34.99101565842389,False,0.0,69614024.0,1602638.375,0.0,3223407.0
Idle Max,float32,0,0.0,45071,38.5650723025584,False,0.0,117569200.0,8149503.0,0.0,12535728.0
Idle Min,float32,0,0.0,44888,38.40848806366048,False,0.0,117569200.0,4945397.0,0.0,9584982.0
Label,object,0,0.0,7,0.005989561050740139,True,,,,,
